sample_index,GHSOM_cluster,metadata_index
1422,8,1422
1423,28,1423
1424,20,1424
1425,27,1425
1426,14,1426
1427,14,1427
1428,8,1428
1429,12,1429
1430,5,1430
1431,10,1431
1432,14,1432
1433,8,1433
1434,7,1434
1435,27,1435
1436,22,1436
1437,17,1437
1438,8,1438
1439,9,1439
1440,13,1440
1441,27,1441
1442,19,1442
1443,17,1443
1444,20,1444
1445,13,1445
1446,15,1446
1447,13,1447
1448,12,1448
1449,13,1449
1450,14,1450
1451,27,1451
1452,10,1452
1453,8,1453
1454,19,1454
1455,20,1455
1456,20,1456
1457,8,1457
1458,12,1458
1459,20,1459
1460,8,1460
1461,5,1461
1462,10,1462
1463,7,1463
1464,9,1464
1465,13,1465
1466,8,1466
1467,7,1467
1468,27,1468
1469,10,1469
1470,28,1470
1471,8,1471
1472,14,1472
1473,27,1473
1474,22,1474
1475,19,1475
1476,8,1476
1477,13,1477
1478,9,1478
1479,7,1479
1480,14,1480
1481,7,1481
1482,7,1482
1483,8,1483
1484,6,1484
1485,5,1485
1486,7,1486
1487,14,1487
1488,13,1488
1489,7,1489
1490,26,1490
1491,9,1491
1492,21,1492
1493,19,1493
1494,12,1494
1495,9,1495
1496,7,1496
1497,8,1497
1498,13,1498
1499,20,1499
1500,21,1500
1501,3,1501
1502,9,1502
1503,13,1503
1504,10,1504
1505,27,1505
1506,25,1506
1507,9,1507
1508,12,1508
1509,5,1509
1510,10,1510
1511,7,1511
1512,24,1512
1513,14,1513
1514,12,1514
1515,22,1515
1516,9,1516
1517,8,1517
1518,7,1518
1519,10,1519
1520,10,1520
1521,13,1521
1522,14,1522
1523,6,1523
1524,22,1524
1525,9,1525
1526,17,1526
1527,14,1527
1528,22,1528
1529,10,1529
1530,7,1530
1531,15,1531
1532,8,1532
1533,14,1533
1534,10,1534
1535,14,1535
1536,10,1536
1537,10,1537
1538,17,1538
1539,13,1539
1540,7,1540
1541,27,1541
1542,17,1542
1543,10,1543
1544,12,1544
1545,9,1545
1546,8,1546
1547,19,1547
1548,13,1548
1549,4,1549
1550,7,1550
1551,7,1551
1552,7,1552
1553,10,1553
1554,27,1554
1555,10,1555
1556,10,1556
1557,27,1557
1558,14,1558
1559,26,1559
1560,10,1560
1561,10,1561
1562,21,1562
1563,17,1563
1564,25,1564
1565,13,1565
1566,27,1566
1567,28,1567
1568,15,1568
1569,12,1569
1570,15,1570
1571,7,1571
1572,13,1572
1573,13,1573
1574,26,1574
1575,14,1575
1576,6,1576
1577,13,1577
1578,8,1578
1579,14,1579
1580,14,1580
1581,21,1581
1582,15,1582
1583,9,1583
1584,27,1584
1585,3,1585
1586,10,1586
1587,27,1587
1588,10,1588
1589,21,1589
1590,20,1590
1591,20,1591
1592,12,1592
1593,12,1593
1594,9,1594
1595,3,1595
1596,8,1596
1597,9,1597
1598,12,1598
1599,25,1599
1600,3,1600
1601,7,1601
1602,5,1602
1603,8,1603
1604,6,1604
1605,15,1605
1606,8,1606
1607,12,1607
1608,3,1608
1609,13,1609
1610,7,1610
1611,5,1611
1612,8,1612
1613,8,1613
1614,6,1614
1615,6,1615
1616,15,1616
1617,14,1617
1618,27,1618
1619,3,1619
1620,21,1620
1621,9,1621
1622,8,1622
1623,7,1623
1624,13,1624
1625,8,1625
1626,10,1626
1627,13,1627
1628,8,1628
1629,12,1629
1630,20,1630
1631,14,1631
1632,6,1632
1633,7,1633
1634,14,1634
1635,9,1635
1636,20,1636
1637,6,1637
1638,19,1638
1639,8,1639
1640,8,1640
1641,13,1641
1642,9,1642
1643,22,1643
1644,7,1644
1645,26,1645
1646,14,1646
1647,7,1647
1648,12,1648
1649,13,1649
1650,12,1650
1651,9,1651
1652,25,1652
1653,20,1653
1654,13,1654
1655,24,1655
1656,10,1656
1657,13,1657
1658,28,1658
1659,9,1659
1660,27,1660
1661,12,1661
1662,10,1662
1663,8,1663
