,pm_note_count,pm_length_seconds,pm_pitch_range_min_freq,pm_pitch_range_min_note,pm_pitch_range_max_freq,pm_pitch_range_max_note,pm_average_pitch_hz,pm_average_velocity,pm_interval_range_min,pm_interval_range_max,pm_energy,pm_groove,pm_max_polyphony,pm_average_polyphony,pm_instrument_count,pm_note_density,pm_bar_count,pm_tempo_bpm,muspy_pitch_range,muspy_n_pitches_used,muspy_n_pitch_classes_used,muspy_polyphony,muspy_scale_consistency,muspy_pitch_entropy,muspy_pitch_class_entropy,muspy_empty_beat_rate,muspy_drum_in_pattern_rate_duple,muspy_drum_in_pattern_rate_triple,muspy_drum_pattern_consistency,muspy_groove_consistency,muspy_empty_measure_rate,theory_centricity,theory_limited_macroharmony,theory_conjuction_melody_motion,theory_general_tonality
pm_energy,0.9365266242537672,0.026794282637209562,-0.01334007883601565,-0.032267252915854555,0.017878082311433587,0.012704102685497059,0.0008114789074911504,0.20067344610351937,-0.09531463988981205,0.05805444720237802,1.0,-0.09841674742998045,0.18059774105432777,0.06290896485979353,,0.9175762809230632,0.03975452487410808,0.025019408403156824,0.057836694930511925,0.008575975308538916,-0.06145592396900584,0.11251582714767241,0.02377363286198311,-0.0066898295249053765,-0.05692302528652167,-0.057191488960815225,,,,-0.07654472250187941,-0.057191488960815225,0.3490837936438909,-0.2626693007892824,-0.006602658887303742,-0.016080265759670836
pm_groove,-0.1228629276942537,0.023853463405736665,-0.13472461773385086,-0.14569763957975987,0.08339133500461926,0.12367132798065003,0.008685883536773353,0.004422915600048413,-0.421197895961267,0.39391280284077346,-0.09841674742998045,1.0,0.4536448261569942,0.3210446177926499,,-0.14158652905708408,-0.21336665092786034,-0.17902752567766314,0.35805322955462543,0.15207060125294497,-0.1256157569579093,0.5614474751544295,-0.03324387572390267,0.13032205876105313,-0.13269564328264527,0.09084669037776626,,,,0.17045922878913636,0.09084669037776626,-0.23182890304318712,-0.2530819135563361,0.6211628680846105,0.609550992645942
pm_max_polyphony,0.2183417241785915,0.08202681263728172,-0.15741637784483156,-0.1725361838029322,0.19843911793549304,0.27606203831940945,0.056242247996047975,0.05917327036828073,-0.5957018232152407,0.5505658670380928,0.18059774105432777,0.4536448261569942,1.0,0.6250761338920349,,0.19441402995065196,-0.15736078807791104,-0.1605442815740861,0.5980486667305243,0.42959173787413424,0.08443950921004793,0.7508469382401428,-0.02411296474758694,0.37364283271626086,0.05972281527423615,-0.15465652885243553,,,,0.004969941956973729,-0.15465652885243553,-0.28095516258786885,-0.28275177294571374,0.7113691464472688,0.6980120272065492
pm_average_polyphony,0.11907310563316745,0.12150455992902244,-0.2747932390681058,-0.25781155376220427,0.08522130508645363,0.2222918042462416,-0.0748583491016991,-0.11985404842075241,-0.59998023094443,0.5570634639160436,0.06290896485979353,0.3210446177926499,0.6250761338920349,1.0,,0.08767460936086167,-0.13122968446237526,-0.2298634762923525,0.6297051755459104,0.50793436982384,0.19787617238911626,0.6839697543982864,0.056340633536809424,0.4975666915277825,0.22379756587043834,-0.6374703415764317,,,,0.020259109783793968,-0.6374703415764317,-0.4396384130292945,-0.15152424009422835,0.7507205239131688,0.7444115589465028
pm_instrument_count,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pm_note_density,0.9438735589099463,-0.03526342101385634,0.009469487248165062,-0.0003570110159947404,0.080670235716314,0.09453326508023892,0.0476784260615191,0.16341407779388425,-0.14392064247366806,0.10878829506877222,0.9175762809230632,-0.14158652905708408,0.19441402995065196,0.08767460936086167,,1.0,0.0703394234338194,0.10333997718929923,0.13161300293879558,0.09344701964643162,0.0016258933301954177,0.15965110142522254,0.03400906273521439,0.042810613941453544,-0.028361941446309352,-0.13132724485879735,,,,-0.2238119723026273,-0.13132724485879735,0.446114593547265,-0.31320359395698794,-0.012585184614549865,-0.022567304752872934
pm_bar_count,0.14721478560748993,0.3525140565124228,0.03246269616859273,0.07154073499480917,0.05669628556376895,0.11360813352840107,0.04748560076171179,0.07723156860666437,-0.012749194714697746,0.04497224842052703,0.03975452487410808,-0.21336665092786034,-0.15736078807791104,-0.13122968446237526,,0.0703394234338194,1.0,0.6104942248346871,0.0684858065612336,0.20310142865938108,0.3903374390665203,-0.12526796517896321,-0.07386674805159921,0.27644996774722613,0.3677907737904129,0.04877267321804949,,,,-0.11345122317053462,0.04877267321804949,-0.15494468225027438,0.3412825206596272,-0.20493978344748495,-0.18643496695217454
pm_tempo_bpm,0.010916228326996649,-0.41224353682849063,0.2612115460983595,0.30139951342624977,0.2199521167794669,0.2565644382725269,0.2507765205706225,0.23146612490286664,0.05455919822570904,0.02424541610558294,0.025019408403156824,-0.17902752567766314,-0.1605442815740861,-0.2298634762923525,,0.10333997718929923,0.6104942248346871,1.0,-0.019592296157444764,-0.060910010087976536,0.0321387905035493,-0.03541233821789274,-0.018415638852283853,-0.0032966434090301133,0.022046572220573015,0.269427165774803,,,,0.07168217594936695,0.269427165774803,-0.03479077199652319,0.3748708478831964,-0.2628811774654849,-0.23726664264987238
muspy_pitch_range,0.18205311858629558,0.21058709437786458,-0.22375281888003215,-0.25181855251454616,0.4446089054933252,0.4945466874716885,0.21698198843642263,-0.009472122761101504,-0.8212515709693,0.82188660864113,0.057836694930511925,0.35805322955462543,0.5980486667305243,0.6297051755459104,,0.13161300293879558,0.0684858065612336,-0.019592296157444764,1.0,0.7688881856963525,0.42205682559396845,0.702116110537373,-0.0077554345992756875,0.7543672316604106,0.4044065105706389,-0.2433767306551729,,,,-0.08265495691257957,-0.2433767306551729,-0.5957191067299629,-0.09314400674182023,0.8256388994957461,0.8205372119512152
muspy_n_pitches_used,0.20012664603083824,0.4088750942186187,-0.17253694547799825,-0.20031799209948714,0.24846066187636381,0.37423596665856296,0.061356217652052306,-0.13640724009170904,-0.6508610749894063,0.5209783146129557,0.008575975308538916,0.15207060125294497,0.42959173787413424,0.50793436982384,,0.09344701964643162,0.20310142865938108,-0.060910010087976536,0.7688881856963525,1.0,0.8015303545224988,0.45010186993499474,-0.2656781845653824,0.8945802211771561,0.7200880237070189,-0.2755804122048332,,,,-0.26247633715509455,-0.2755804122048332,-0.6887842287416371,-0.0015142413373187876,0.547941548448121,0.5358367918976481
