feature_1,feature_2,mutual_information
pm_pitch_range_min_note,pm_note_density,0.3287124189357491
pm_pitch_range_min_freq,muspy_pitch_entropy,0.32805232952506724
pm_length_seconds,pm_interval_range_min,0.3274143901361217
pm_pitch_range_max_note,pm_note_density,0.32719257451218287
pm_pitch_range_max_freq,pm_note_density,0.3263905490246697
pm_energy,muspy_empty_beat_rate,0.325582699293574
pm_energy,muspy_empty_measure_rate,0.325582699293574
pm_interval_range_max,pm_energy,0.32152353080373963
pm_average_velocity,pm_interval_range_min,0.3199283829601507
pm_pitch_range_min_note,muspy_groove_consistency,0.3195448094377227
pm_interval_range_min,pm_groove,0.3194175655176199
pm_pitch_range_min_note,muspy_pitch_class_entropy,0.31350071877311025
pm_pitch_range_min_note,muspy_pitch_entropy,0.31216500653060253
muspy_pitch_range,theory_limited_macroharmony,0.3110343277682226
pm_average_pitch_hz,muspy_groove_consistency,0.3073909200493361
pm_interval_range_max,pm_tempo_bpm,0.3072297141171929
pm_tempo_bpm,muspy_n_pitches_used,0.3053121436080004
pm_pitch_range_min_freq,muspy_pitch_class_entropy,0.3050954467989513
pm_interval_range_min,pm_max_polyphony,0.304677771780713
pm_energy,muspy_n_pitches_used,0.30203349997603945
pm_pitch_range_max_note,pm_energy,0.3012567617952735
pm_pitch_range_max_freq,pm_groove,0.29992073162706445
pm_pitch_range_min_freq,pm_groove,0.2994160935702199
pm_interval_range_max,theory_centricity,0.2981141132720171
pm_average_pitch_hz,theory_general_tonality,0.2978657177204207
pm_pitch_range_max_freq,pm_energy,0.29451328229967055
pm_pitch_range_min_note,pm_groove,0.29366265589862994
pm_average_polyphony,theory_centricity,0.291745144083813
pm_pitch_range_min_freq,pm_bar_count,0.2916324001161894
pm_bar_count,theory_centricity,0.2915450406363065
pm_pitch_range_max_freq,muspy_groove_consistency,0.28991963703933976
pm_average_velocity,muspy_pitch_class_entropy,0.2877402288261588
pm_average_pitch_hz,pm_bar_count,0.2861544622751273
pm_pitch_range_max_note,pm_groove,0.2855904491403205
pm_average_pitch_hz,pm_groove,0.2835711365635887
pm_average_velocity,theory_general_tonality,0.2831006324046088
pm_average_velocity,theory_conjuction_melody_motion,0.28223698307433764
pm_average_pitch_hz,theory_conjuction_melody_motion,0.28143774185893733
pm_average_velocity,pm_interval_range_max,0.28137548998419426
muspy_n_pitch_classes_used,muspy_scale_consistency,0.27901858256901546
pm_interval_range_min,pm_tempo_bpm,0.27480763212226966
pm_average_pitch_hz,theory_limited_macroharmony,0.2747295749078189
pm_pitch_range_min_note,pm_bar_count,0.27337919126723254
pm_average_velocity,muspy_n_pitches_used,0.27194843661384827
pm_pitch_range_max_note,pm_interval_range_min,0.2715094976268575
pm_interval_range_min,muspy_groove_consistency,0.2703675684358231
pm_pitch_range_min_freq,muspy_groove_consistency,0.26989592885891645
pm_average_pitch_hz,pm_energy,0.2686064179590488
pm_pitch_range_max_freq,muspy_pitch_class_entropy,0.26801779148292004
pm_tempo_bpm,theory_limited_macroharmony,0.2645553024955496
pm_pitch_range_max_note,pm_interval_range_max,0.2632940247993103
pm_pitch_range_max_note,muspy_groove_consistency,0.26214882628800096
pm_tempo_bpm,muspy_polyphony,0.26205442457235506
pm_interval_range_max,muspy_n_pitch_classes_used,0.26060774537951303
pm_pitch_range_max_freq,pm_interval_range_min,0.260414152602054
pm_pitch_range_max_freq,pm_average_polyphony,0.25840010404957425
pm_interval_range_max,muspy_groove_consistency,0.2573960363787098
pm_pitch_range_max_note,theory_centricity,0.25739124963424764
pm_pitch_range_min_freq,muspy_n_pitches_used,0.2554841268799688
pm_average_pitch_hz,pm_average_polyphony,0.25484379360399334
pm_pitch_range_max_freq,pm_interval_range_max,0.2516170091357597
pm_note_count,pm_average_pitch_hz,0.2477555838010339
muspy_pitch_entropy,muspy_empty_beat_rate,0.2465479566583193
muspy_pitch_entropy,muspy_empty_measure_rate,0.2465479566583193
pm_energy,muspy_n_pitch_classes_used,0.24364948324609337
pm_pitch_range_min_freq,pm_interval_range_max,0.2431434313737033
pm_pitch_range_max_note,theory_conjuction_melody_motion,0.24084504799700923
pm_pitch_range_max_note,muspy_pitch_class_entropy,0.24065954385808963
pm_pitch_range_max_freq,muspy_n_pitches_used,0.2406469976895993
pm_bar_count,theory_limited_macroharmony,0.24033790586275083
pm_average_pitch_hz,theory_centricity,0.23947550089394642
pm_pitch_range_min_freq,muspy_n_pitch_classes_used,0.23697285965516235
muspy_n_pitches_used,muspy_empty_beat_rate,0.23599676228348798
muspy_n_pitches_used,muspy_empty_measure_rate,0.23599676228348798
pm_interval_range_max,pm_max_polyphony,0.23597639166626383
pm_pitch_range_min_note,pm_interval_range_max,0.2354966293226295
pm_energy,muspy_polyphony,0.23500900851344664
pm_average_polyphony,muspy_pitch_class_entropy,0.2339077162154659
pm_groove,pm_max_polyphony,0.23299566397491756
muspy_polyphony,theory_centricity,0.23264986604474336
pm_pitch_range_min_note,pm_interval_range_min,0.23244079514148952
pm_interval_range_min,pm_energy,0.2319485300230073
pm_max_polyphony,muspy_pitch_range,0.23093392262392465
pm_pitch_range_max_note,pm_average_polyphony,0.22992715054182966
pm_pitch_range_min_note,pm_average_polyphony,0.22926433499744547
pm_average_velocity,muspy_n_pitch_classes_used,0.22923599002844064
pm_pitch_range_min_note,muspy_n_pitches_used,0.22792643730642936
pm_pitch_range_max_note,theory_general_tonality,0.2269634102663698
pm_pitch_range_max_note,muspy_n_pitches_used,0.22295377077656875
pm_note_count,pm_interval_range_max,0.2214944127313685
pm_pitch_range_max_freq,theory_centricity,0.2210216324669867
pm_note_count,pm_pitch_range_min_note,0.22061222969692862
pm_pitch_range_max_freq,theory_conjuction_melody_motion,0.21999203383940502
pm_average_velocity,theory_limited_macroharmony,0.21976970805666873
pm_note_count,pm_pitch_range_min_freq,0.21887014918351388
pm_pitch_range_min_freq,pm_average_polyphony,0.2162973905106389
pm_max_polyphony,muspy_pitch_entropy,0.21532791451987965
pm_average_velocity,muspy_polyphony,0.21311928261605928
muspy_scale_consistency,muspy_pitch_entropy,0.21253993091371548
pm_bar_count,muspy_n_pitches_used,0.2121816035897246
pm_max_polyphony,pm_note_density,0.21096796520695804
pm_pitch_range_max_freq,muspy_n_pitch_classes_used,0.20734201254722118
pm_pitch_range_max_note,muspy_n_pitch_classes_used,0.20134242483571807
muspy_scale_consistency,muspy_groove_consistency,0.2008029748633413
pm_note_count,muspy_scale_consistency,0.19971954332945563
muspy_pitch_class_entropy,muspy_empty_beat_rate,0.19613959324610875
muspy_pitch_class_entropy,muspy_empty_measure_rate,0.19613959324610875
muspy_polyphony,muspy_groove_consistency,0.19452228416973516
pm_bar_count,muspy_pitch_range,0.19373343262705012
pm_interval_range_min,theory_limited_macroharmony,0.19361466502347158
pm_pitch_range_min_note,muspy_n_pitch_classes_used,0.19211862351262887
pm_average_polyphony,muspy_n_pitch_classes_used,0.18886279755261093
pm_pitch_range_max_note,pm_bar_count,0.18821024969059597
pm_length_seconds,muspy_scale_consistency,0.18376656673612501
pm_pitch_range_min_freq,pm_interval_range_min,0.18370313208024047
pm_interval_range_max,theory_limited_macroharmony,0.18349621968147156
pm_pitch_range_min_note,pm_energy,0.18265096704307426
pm_max_polyphony,theory_conjuction_melody_motion,0.1824039363250689
pm_tempo_bpm,muspy_scale_consistency,0.181713818623511
pm_energy,pm_max_polyphony,0.18025904542968352
pm_max_polyphony,theory_general_tonality,0.17887169045758755
pm_pitch_range_min_freq,pm_energy,0.17885325498561855
pm_pitch_range_max_freq,pm_bar_count,0.1770333641699824
pm_pitch_range_max_freq,theory_general_tonality,0.17606838997165708
pm_pitch_range_min_note,theory_conjuction_melody_motion,0.17353927649705359
pm_pitch_range_min_freq,theory_conjuction_melody_motion,0.16856512948651536
pm_note_count,muspy_polyphony,0.16672230840028845
pm_interval_range_max,pm_bar_count,0.1654389976774988
pm_interval_range_min,pm_bar_count,0.1642689771053778
muspy_n_pitch_classes_used,muspy_empty_measure_rate,0.16267766510465353
muspy_n_pitch_classes_used,muspy_empty_beat_rate,0.16267766510465353
pm_pitch_range_min_note,theory_general_tonality,0.16202609398261814
pm_pitch_range_min_note,muspy_polyphony,0.16178919705756556
pm_note_count,pm_pitch_range_max_note,0.16168279066921087
pm_pitch_range_min_note,theory_limited_macroharmony,0.1612397237560046
pm_note_count,pm_pitch_range_max_freq,0.1608218783809625
pm_average_polyphony,theory_limited_macroharmony,0.15968721429195654
pm_average_pitch_hz,muspy_polyphony,0.15654829134449155
pm_pitch_range_min_freq,muspy_polyphony,0.15426580433100323
muspy_pitch_range,muspy_empty_measure_rate,0.1541103972481963
muspy_pitch_range,muspy_empty_beat_rate,0.1541103972481963
pm_pitch_range_max_note,muspy_polyphony,0.15319032865360427
pm_pitch_range_min_freq,theory_limited_macroharmony,0.1503822840887694
pm_pitch_range_min_note,theory_centricity,0.14973856762394266
pm_pitch_range_max_freq,muspy_polyphony,0.14886403413735083
pm_bar_count,muspy_polyphony,0.14589250416720745
pm_bar_count,muspy_scale_consistency,0.14520362042454993
pm_pitch_range_min_freq,muspy_empty_measure_rate,0.14515121158227728
pm_pitch_range_min_freq,muspy_empty_beat_rate,0.14515121158227728
pm_note_density,muspy_scale_consistency,0.13926690941638054
muspy_n_pitches_used,muspy_scale_consistency,0.13336308329299618
pm_pitch_range_min_freq,theory_centricity,0.13278933766139378
