sample_index,GHSOM_cluster,metadata_index
811,9,811
812,13,812
813,9,813
814,27,814
815,25,815
816,15,816
817,7,817
818,26,818
819,7,819
820,15,820
821,19,821
822,2,822
823,8,823
824,27,824
825,7,825
826,9,826
827,8,827
828,23,828
829,7,829
830,27,830
831,5,831
832,14,832
833,9,833
834,27,834
835,9,835
836,4,836
837,9,837
838,15,838
839,25,839
840,23,840
841,5,841
842,9,842
843,9,843
844,22,844
845,23,845
846,5,846
847,10,847
848,23,848
849,15,849
850,15,850
851,20,851
852,15,852
853,2,853
854,7,854
855,21,855
856,22,856
857,21,857
858,27,858
859,13,859
860,7,860
861,22,861
862,15,862
863,26,863
864,26,864
865,27,865
866,22,866
867,5,867
868,25,868
869,10,869
870,20,870
871,27,871
872,23,872
873,27,873
874,27,874
875,23,875
876,20,876
877,8,877
878,25,878
879,10,879
880,9,880
881,9,881
882,15,882
883,15,883
884,10,884
885,9,885
886,9,886
887,21,887
888,27,888
889,27,889
890,22,890
891,10,891
892,25,892
893,9,893
894,26,894
895,19,895
896,4,896
897,15,897
898,15,898
899,26,899
900,15,900
901,5,901
902,25,902
903,15,903
904,22,904
905,26,905
906,13,906
907,26,907
908,26,908
909,8,909
910,21,910
911,13,911
912,4,912
913,20,913
914,20,914
915,7,915
916,10,916
917,5,917
918,9,918
919,19,919
920,25,920
921,4,921
922,21,922
923,21,923
924,27,924
925,25,925
926,9,926
927,4,927
928,21,928
929,2,929
930,5,930
931,9,931
932,21,932
933,23,933
934,9,934
935,14,935
936,21,936
937,8,937
938,8,938
939,8,939
940,26,940
941,9,941
942,14,942
943,23,943
944,14,944
945,23,945
946,5,946
947,5,947
948,21,948
949,26,949
950,15,950
951,15,951
952,25,952
953,5,953
954,26,954
955,10,955
956,22,956
957,21,957
958,4,958
959,14,959
960,5,960
961,2,961
962,15,962
963,10,963
964,23,964
965,9,965
966,23,966
967,10,967
968,14,968
969,5,969
970,10,970
971,26,971
972,13,972
973,23,973
974,27,974
975,15,975
976,27,976
977,25,977
978,21,978
979,15,979
980,10,980
981,15,981
982,9,982
983,25,983
984,25,984
985,20,985
986,4,986
987,27,987
988,15,988
989,20,989
990,2,990
991,20,991
992,5,992
993,15,993
994,7,994
995,15,995
996,13,996
997,27,997
998,22,998
999,8,999
1000,20,1000
1001,23,1001
1002,13,1002
1003,8,1003
1004,9,1004
1005,22,1005
1006,25,1006
1007,23,1007
1008,13,1008
1009,23,1009
1010,9,1010
1011,14,1011
1012,26,1012
1013,22,1013
1014,14,1014
1015,8,1015
1016,8,1016
1017,4,1017
1018,23,1018
1019,23,1019
1020,27,1020
1021,13,1021
1022,25,1022
1023,9,1023
1024,7,1024
1025,7,1025
1026,26,1026
1027,19,1027
1028,14,1028
1029,9,1029
1030,25,1030
1031,21,1031
1032,22,1032
1033,23,1033
1034,14,1034
1035,10,1035
1036,10,1036
1037,9,1037
1038,5,1038
1039,13,1039
1040,25,1040
1041,5,1041
1042,21,1042
1043,26,1043
1044,27,1044
1045,25,1045
1046,4,1046
1047,9,1047
1048,15,1048
1049,23,1049
1050,20,1050
1051,15,1051
1052,7,1052
1053,21,1053
1054,21,1054
1055,4,1055
1056,10,1056
1057,13,1057
1058,4,1058
1059,27,1059
1060,7,1060
1061,9,1061
1062,23,1062
1063,14,1063
1064,5,1064
1065,15,1065
1066,14,1066
1067,23,1067
1068,9,1068
1069,20,1069
1070,20,1070
1071,27,1071
1072,23,1072
1073,27,1073
1074,25,1074
1075,23,1075
1076,9,1076
1077,25,1077
1078,4,1078
1079,23,1079
1080,10,1080
1081,15,1081
1082,21,1082
1083,25,1083
1084,7,1084
1085,25,1085
1086,14,1086
1087,22,1087
1088,25,1088
1089,10,1089
1090,27,1090
1091,5,1091
1092,15,1092
1093,15,1093
1094,26,1094
1095,5,1095
1096,8,1096
1097,14,1097
1098,25,1098
1099,14,1099
1100,5,1100
1101,21,1101
1102,9,1102
1103,23,1103
1104,22,1104
1105,15,1105
1106,23,1106
1107,23,1107
1108,19,1108
1109,20,1109
1110,9,1110
1111,4,1111
1112,9,1112
1113,9,1113
1114,8,1114
1115,8,1115
1116,22,1116
1117,10,1117
1118,13,1118
1119,9,1119
1120,25,1120
1121,15,1121
1122,23,1122
1123,12,1123
1124,22,1124
1125,7,1125
1126,20,1126
1127,15,1127
1128,25,1128
1129,5,1129
1130,15,1130
1131,20,1131
1132,25,1132
1133,5,1133
1134,14,1134
1135,22,1135
1136,13,1136
1137,23,1137
1138,22,1138
1139,2,1139
1140,12,1140
1141,10,1141
1142,25,1142
1143,26,1143
1144,23,1144
1145,8,1145
1146,5,1146
1147,5,1147
1148,19,1148
1149,15,1149
1150,23,1150
1151,23,1151
1152,27,1152
1153,15,1153
1154,23,1154
1155,20,1155
1156,9,1156
1157,5,1157
1158,25,1158
1159,26,1159
1160,5,1160
1161,15,1161
1162,14,1162
1163,15,1163
1164,7,1164
1165,15,1165
1166,15,1166
1167,20,1167
1168,10,1168
1169,27,1169
1170,21,1170
1171,20,1171
1172,27,1172
1173,13,1173
1174,4,1174
1175,25,1175
1176,23,1176
1177,14,1177
1178,15,1178
1179,7,1179
1180,15,1180
1181,22,1181
1182,13,1182
1183,23,1183
1184,14,1184
1185,25,1185
1186,21,1186
1187,13,1187
1188,4,1188
1189,7,1189
1190,8,1190
1191,15,1191
1192,13,1192
1193,8,1193
1194,14,1194
1195,13,1195
1196,8,1196
1197,21,1197
1198,4,1198
1199,4,1199
1200,15,1200
1201,25,1201
1202,23,1202
1203,15,1203
1204,23,1204
1205,14,1205
1206,15,1206
1207,21,1207
1208,14,1208
1209,27,1209
1210,14,1210
1211,7,1211
1212,27,1212
1213,15,1213
1214,22,1214
1215,27,1215
1216,19,1216
1217,22,1217
1218,27,1218
1219,25,1219
1220,9,1220
1221,15,1221
1222,26,1222
1223,15,1223
1224,5,1224
1225,5,1225
1226,26,1226
1227,26,1227
1228,5,1228
1229,9,1229
1230,9,1230
1231,15,1231
1232,7,1232
1233,14,1233
1234,20,1234
1235,22,1235
1236,12,1236
1237,9,1237
1238,5,1238
1239,21,1239
1240,26,1240
1241,20,1241
1242,7,1242
1243,7,1243
1244,13,1244
1245,22,1245
1246,15,1246
1247,10,1247
1248,21,1248
1249,23,1249
1250,15,1250
1251,10,1251
1252,5,1252
1253,23,1253
1254,10,1254
1255,27,1255
1256,13,1256
1257,10,1257
1258,9,1258
1259,4,1259
1260,25,1260
1261,23,1261
1262,21,1262
1263,21,1263
1264,9,1264
1265,25,1265
1266,26,1266
1267,4,1267
1268,21,1268
1269,7,1269
1270,21,1270
1271,14,1271
1272,22,1272
1273,21,1273
1274,21,1274
1275,13,1275
1276,15,1276
1277,5,1277
1278,10,1278
1279,27,1279
1280,21,1280
1281,15,1281
1282,9,1282
1283,13,1283
1284,15,1284
1285,9,1285
1286,5,1286
1287,26,1287
1288,26,1288
1289,20,1289
1290,15,1290
1291,15,1291
1292,4,1292
1293,21,1293
1294,21,1294
1295,15,1295
1296,13,1296
1297,5,1297
1298,7,1298
1299,8,1299
1300,7,1300
1301,27,1301
1302,25,1302
1303,5,1303
1304,7,1304
1305,27,1305
1306,5,1306
1307,4,1307
1308,21,1308
1309,5,1309
1310,21,1310
1311,5,1311
1312,26,1312
1313,27,1313
1314,5,1314
1315,21,1315
1316,15,1316
1317,12,1317
1318,27,1318
1319,20,1319
1320,21,1320
1321,27,1321
1322,15,1322
1323,2,1323
1324,9,1324
1325,9,1325
1326,15,1326
1327,26,1327
1328,25,1328
1329,7,1329
1330,2,1330
1331,15,1331
1332,9,1332
1333,25,1333
1334,2,1334
1335,13,1335
1336,5,1336
1337,13,1337
1338,15,1338
1339,14,1339
1340,21,1340
1341,14,1341
1342,22,1342
1343,15,1343
1344,23,1344
1345,13,1345
1346,9,1346
1347,26,1347
1348,10,1348
1349,25,1349
1350,22,1350
1351,15,1351
1352,15,1352
1353,9,1353
1354,5,1354
1355,26,1355
1356,7,1356
1357,10,1357
1358,8,1358
1359,9,1359
1360,14,1360
1361,15,1361
1362,21,1362
1363,9,1363
1364,23,1364
1365,5,1365
1366,21,1366
1367,5,1367
1368,13,1368
1369,25,1369
1370,25,1370
1371,23,1371
1372,20,1372
1373,27,1373
1374,23,1374
1375,22,1375
1376,4,1376
