metadata_index,dim1,dim2
317,1.9366126,6.0578156
318,7.818563,14.463675
319,8.992765,13.5278
320,9.96979,11.744628
321,9.261954,2.660194
322,4.537992,13.664394
323,4.3802943,13.507361
324,10.198352,7.38589
325,11.034841,6.8133054
326,9.118843,13.181537
327,2.716088,3.7694147
328,8.70325,13.751205
329,9.962213,9.757533
330,-0.18811049,4.2400246
331,8.418187,2.9406092
332,1.9157382,5.2456236
333,7.8368545,14.385724
334,3.7723777,8.860981
335,8.897785,13.613413
336,7.598722,13.488172
337,9.977186,12.311253
338,2.5830753,3.9534574
339,2.6713293,3.6973393
340,2.666076,4.138209
341,8.441273,2.9732924
342,10.347337,3.3085644
343,-0.48123154,10.964877
344,10.059016,12.246572
345,8.371467,3.0566342
346,10.426442,11.342513
347,8.788212,13.652978
348,9.893094,9.718462
349,11.394381,6.31517
350,13.470496,1.3028823
351,-0.19543482,10.550202
352,4.3220906,8.349699
353,8.445164,13.856711
354,9.388183,9.670375
355,11.421996,6.385609
356,4.2753205,8.412472
357,9.3456745,9.581653
358,10.2457695,7.6300406
359,2.7346408,3.701281
360,4.59972,13.722681
361,11.272315,10.078699
362,11.241558,10.0670805
363,0.26104903,4.5062
364,8.614124,2.8695774
365,9.890582,10.703526
366,10.92565,6.0016513
367,9.092723,2.5392077
368,10.175928,10.596051
369,12.388092,1.589574
370,3.986276,13.507427
371,10.3433895,11.028052
372,2.2785077,9.474622
373,12.385276,1.5991355
374,9.765043,11.820935
375,9.445611,2.5131547
376,10.288859,11.249978
377,-0.52655166,10.788507
378,1.5357317,5.1094675
379,1.7364988,7.2593055
380,2.6126947,3.5981276
381,9.802136,9.82745
382,9.269428,2.7603858
383,2.6742206,3.7476084
384,12.083569,12.2841835
385,-0.2844275,11.272607
386,13.488108,1.2788476
387,9.956655,11.344821
388,2.7256145,3.442031
389,9.791965,3.1148508
390,10.180505,7.2962327
391,1.6647825,7.13344
392,9.530595,2.5867884
393,0.17427543,4.65079
394,10.482427,10.139409
395,4.5641026,13.77567
396,11.407463,6.3880277
397,7.832075,14.120719
398,11.355253,10.040369
399,-0.5281932,10.699212
400,8.409556,2.9420242
401,-0.4871762,10.822061
402,7.4230914,13.345412
403,8.262398,15.657671
404,1.8817999,5.2376695
405,2.6654992,3.6281621
406,4.3814225,8.277136
407,10.20189,7.3125687
408,11.031303,6.6892314
409,2.5362043,3.7503629
410,9.348869,2.602667
411,7.8366933,14.426676
412,2.6198375,3.7391453
413,10.192712,7.3628445
414,1.3663645,5.303514
415,9.9549675,10.637427
416,4.480282,8.164192
417,2.581152,3.7482345
418,10.195645,7.3954782
419,9.705552,13.113771
420,10.609421,9.663054
421,1.9268984,5.4656773
422,2.3318472,4.154835
423,9.955829,12.885121
424,11.283801,10.040832
425,13.464712,1.3115181
426,2.6568508,3.6972327
427,8.14854,13.84148
428,10.1213875,10.565668
429,11.427872,6.3918266
430,2.6322403,3.5725121
431,2.6825366,3.497948
432,1.9165386,5.5099783
433,-0.20701842,10.561883
434,1.9842095,5.2712617
435,10.19155,7.3279357
436,4.2839727,8.406464
437,11.08795,10.032142
438,2.6211784,3.6361754
439,10.362397,10.87761
440,11.061402,6.631794
441,4.322425,13.696375
442,8.349065,3.0650766
443,4.4238567,8.270108
444,2.3660338,9.329959
445,-0.02857961,10.4408865
446,9.497377,2.4613602
447,10.54113,11.303759
448,11.430434,10.224545
449,8.6929655,13.76531
450,10.017281,11.840116
451,7.85576,14.108034
452,1.392717,4.548875
453,-0.43615684,10.8182125
454,9.544883,3.1303227
455,2.5312204,4.073844
456,1.2777094,5.9012747
457,0.13732171,4.6424527
458,9.938375,10.070843
459,2.6698985,3.5309408
460,10.16602,3.323512
461,8.740994,2.7477016
462,10.343862,3.357769
463,0.24400444,4.5002484
464,0.26721835,4.5041637
465,-0.06747594,4.320912
466,10.269575,11.0973425
467,8.4566765,2.8701377
468,4.4787083,8.174657
469,0.2648137,4.5216494
470,6.275593,13.671109
471,6.933468,13.667083
472,7.5695763,14.251526
473,-0.160146,4.270983
474,10.243422,7.627537
475,11.39934,10.212696
476,8.637229,2.799779
477,2.7501204,3.7284625
478,2.425302,4.2173047
479,9.585882,13.268726
480,8.614125,2.8514702
481,-0.6145766,11.12655
482,10.3307495,3.397172
483,11.02461,6.7439833
484,-0.12412724,10.608452
485,7.732849,14.319676
486,9.314792,3.0187469
487,10.09631,10.916976
488,4.542138,8.267247
489,4.569347,13.777593
490,-2.519572,13.562221
491,8.055357,13.917461
492,9.624485,13.241473
493,9.58715,13.287499
494,4.5892396,13.734643
495,8.7817955,13.648433
496,10.445223,10.908387
497,4.4021826,8.171937
498,9.946537,9.530069
499,0.25415722,4.525923
500,0.03253255,10.7437105
501,4.5499744,13.771988
502,4.0046496,13.492509
503,11.406423,10.123067
504,10.364632,11.057264
505,4.272516,8.432541
506,10.577355,10.510979
507,9.08452,13.298684
508,6.8627267,13.641819
509,9.912364,12.922085
510,2.6615877,3.6363711
511,8.726977,13.725245
512,-1.1433307,10.64589
513,0.25610322,4.502509
514,10.54324,9.831452
515,2.4704108,4.181507
516,11.151261,6.631745
517,2.7326872,3.42859
518,8.668027,2.9371753
519,6.9622226,13.634551
520,4.445817,8.229837
521,2.5714371,3.536991
522,4.5570736,13.778617
523,10.19805,7.328386
524,8.826306,2.7895055
525,9.902899,3.15308
526,9.487209,2.5355165
527,10.922201,6.6659923
528,10.379976,10.905725
529,10.442802,11.117053
530,9.672672,2.8051229
531,-0.2857458,10.739104
532,12.332092,12.224158
533,1.8890027,6.134077
534,4.0024185,13.651917
535,1.1517237,5.367047
536,9.098788,2.9025838
537,13.4521885,1.3058084
538,8.512951,14.530621
539,9.216051,13.075999
540,1.7072948,7.0492654
541,9.897516,12.725899
542,11.063778,6.137355
543,2.6482084,3.6535702
544,-0.21035878,10.665611
545,6.919913,13.643761
546,-0.14707457,4.3619237
547,-0.15310402,4.327828
548,2.5291886,3.8189337
549,7.861426,14.328996
550,8.51775,13.2096815
551,1.6809254,6.770102
552,2.6213248,4.1670747
553,11.413934,10.172736
554,2.6582096,3.7681437
555,-0.32304364,11.162694
556,4.267796,8.41374
557,2.7102885,3.448264
558,-0.55390865,11.172812
559,1.0395274,11.925691
560,7.6954436,13.462745
561,-1.2311984,4.3791027
562,11.0744915,6.6459394
563,2.632014,3.7588515
564,10.322727,11.006194
565,10.999344,6.762463
566,10.796345,5.4582367
567,8.881008,2.6804686
568,10.101887,10.6038685
569,7.7559814,14.125144
570,9.219271,13.072401
571,4.3877134,8.293332
572,13.133091,1.4468418
