metadata_index,dim1,dim2
89,-21.99438,6.866882
90,16.391972,-32.074265
91,30.75357,15.568394
92,-31.360458,-4.3778176
93,26.307028,5.6461263
94,45.6716,4.9705634
95,-14.240834,32.299114
96,24.428082,47.73939
97,26.10149,-28.985247
98,19.0685,-31.611681
99,23.964096,50.318203
100,17.965939,13.651823
101,-9.285072,-33.551895
102,-29.80991,-0.47282442
103,-15.258064,31.16217
104,15.412941,1.0800495
105,-43.09916,-30.0192
106,28.849833,0.43888512
107,17.044952,-33.913303
108,31.413227,14.217466
109,0.48621166,8.135146
110,24.126574,34.117985
111,16.670446,-32.36025
112,1.6925725,7.967892
113,16.160625,-34.412132
114,-13.077847,35.12192
115,-0.929596,5.5346594
116,19.806067,24.50392
117,-45.478607,31.436852
118,-21.948206,12.873414
119,16.776905,23.417898
120,18.550388,23.623026
121,-13.649948,13.507891
122,45.414684,4.903104
123,23.580082,-0.48663536
124,-30.214706,-4.7228503
125,20.012798,21.43179
126,25.185354,37.548645
127,23.989494,49.05279
128,19.604532,-31.302414
129,12.639695,32.322212
130,-32.309013,-2.2610807
131,22.049463,46.79516
132,22.10916,-2.191195
133,-29.17641,-0.8586084
134,-31.071087,-7.141579
135,-14.537099,32.051247
136,-1.3854468,10.87767
137,13.424103,26.880981
138,15.159658,6.4423523
139,30.418713,1.3869988
140,16.50635,-34.086006
141,-14.642545,14.175033
142,16.309713,33.655605
143,16.827309,-30.859669
144,18.01085,32.27603
145,20.184464,-21.104649
146,31.891064,14.447603
147,14.226648,27.286198
148,13.5118685,26.548859
149,6.512439,-5.063398
150,32.695904,3.9229043
151,-14.771495,31.169006
152,44.222584,-25.400608
153,-29.00178,-3.0662587
154,-13.238057,35.355457
155,13.871998,33.765812
156,21.800364,-36.120575
157,15.085758,24.817045
158,19.158546,-30.911907
159,-12.894207,-31.789871
160,0.22494031,7.447901
161,-31.352856,-5.316457
162,19.98747,7.2569265
163,-13.085596,32.98986
164,-44.810143,30.095596
165,-24.106825,7.3295026
166,30.371645,14.478938
167,-13.458837,34.937164
168,15.412334,25.111906
169,24.746193,-28.734781
170,31.612335,14.657086
171,30.82849,15.632511
172,41.683376,3.2424464
173,13.556846,33.202026
174,23.898022,35.75815
175,24.159678,45.37891
176,43.841785,-0.65982324
177,16.060398,27.438488
178,-18.710417,29.479923
179,48.848103,-18.968256
180,-42.401173,32.262398
181,25.425608,37.258846
182,21.07888,22.048708
183,18.050098,31.046925
184,-43.52018,-29.82087
185,25.691813,29.358957
186,-10.98147,28.838114
187,5.0329833,-19.999624
188,19.565739,-31.684553
189,22.291405,32.997112
190,20.847307,39.038364
191,14.874052,3.079819
192,18.518822,-31.14481
193,-46.308945,31.5127
194,-30.127104,-3.3744934
195,34.633232,1.6553684
196,25.05658,-27.77189
197,16.746834,0.6940985
198,20.57149,39.751675
199,49.39078,-17.016733
200,43.166714,3.0983129
201,25.240149,-30.59701
202,14.902253,1.0629721
203,26.044037,-34.416374
204,25.078373,-29.949577
205,20.6203,20.408747
206,-14.556949,31.442604
207,17.539536,-33.846733
208,-32.009224,-3.233041
209,-31.96335,-3.0786479
210,19.385695,-31.134617
211,24.563276,47.824894
212,-29.120636,-0.9076499
213,15.364897,3.6914146
214,-12.894634,30.628712
215,-29.586946,-2.786034
216,25.250883,-31.608114
217,17.116972,32.12803
218,33.35407,2.7606897
219,11.178714,4.4347367
220,3.8512907,-43.75317
221,41.761654,2.0664196
222,-23.58676,7.9994874
223,20.748987,21.952154
224,-44.817303,28.993443
225,-1.8644056,7.7387905
226,25.343126,36.51602
227,16.313944,29.168976
228,-14.237074,12.293683
229,43.029972,-28.126791
230,18.814186,-31.602232
231,48.691734,-19.130821
